w_1,w_r,x_1,x_r,y_1,y_r,z_1,z_r
-1,-1,-1,-1,-1,1,-1,1
-1,-1,-1,-1,-1,1,1,-1
-1,-1,-1,-1,1,-1,-1,1
-1,-1,-1,-1,1,-1,1,-1
-1,-1,-1,1,-1,-1,-1,1
-1,-1,-1,1,-1,-1,1,-1
-1,-1,-1,1,-1,1,-1,-1
-1,-1,-1,1,-1,1,1,1
-1,-1,-1,1,1,-1,-1,-1
-1,-1,-1,1,1,-1,1,1
-1,-1,-1,1,1,1,-1,1
-1,-1,-1,1,1,1,1,-1
-1,-1,1,-1,-1,-1,-1,1
-1,-1,1,-1,-1,-1,1,-1
-1,-1,1,-1,-1,1,-1,-1
-1,-1,1,-1,-1,1,1,1
-1,-1,1,-1,1,-1,-1,-1
-1,-1,1,-1,1,-1,1,1
-1,-1,1,-1,1,1,-1,1
-1,-1,1,-1,1,1,1,-1
-1,-1,1,1,-1,1,-1,1
-1,-1,1,1,-1,1,1,-1
-1,-1,1,1,1,-1,-1,1
-1,-1,1,1,1,-1,1,-1
-1,1,-1,-1,-1,-1,-1,1
-1,1,-1,-1,-1,-1,1,-1
-1,1,-1,-1,-1,1,-1,-1
-1,1,-1,-1,-1,1,1,1
-1,1,-1,-1,1,-1,-1,-1
-1,1,-1,-1,1,-1,1,1
-1,1,-1,-1,1,1,-1,1
-1,1,-1,-1,1,1,1,-1
-1,1,-1,1,-1,-1,-1,-1
-1,1,-1,1,-1,-1,1,1
-1,1,-1,1,1,1,-1,-1
-1,1,-1,1,1,1,1,1
-1,1,1,-1,-1,-1,-1,-1
-1,1,1,-1,-1,-1,1,1
-1,1,1,-1,1,1,-1,-1
-1,1,1,-1,1,1,1,1
-1,1,1,1,-1,-1,-1,1
-1,1,1,1,-1,-1,1,-1
-1,1,1,1,-1,1,-1,-1
-1,1,1,1,-1,1,1,1
-1,1,1,1,1,-1,-1,-1
-1,1,1,1,1,-1,1,1
-1,1,1,1,1,1,-1,1
-1,1,1,1,1,1,1,-1
1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,1,-1
1,-1,-1,-1,-1,1,-1,-1
1,-1,-1,-1,-1,1,1,1
1,-1,-1,-1,1,-1,-1,-1
1,-1,-1,-1,1,-1,1,1
1,-1,-1,-1,1,1,-1,1
1,-1,-1,-1,1,1,1,-1
1,-1,-1,1,-1,-1,-1,-1
1,-1,-1,1,-1,-1,1,1
1,-1,-1,1,1,1,-1,-1
1,-1,-1,1,1,1,1,1
1,-1,1,-1,-1,-1,-1,-1
1,-1,1,-1,-1,-1,1,1
1,-1,1,-1,1,1,-1,-1
1,-1,1,-1,1,1,1,1
1,-1,1,1,-1,-1,-1,1
1,-1,1,1,-1,-1,1,-1
1,-1,1,1,-1,1,-1,-1
1,-1,1,1,-1,1,1,1
1,-1,1,1,1,-1,-1,-1
1,-1,1,1,1,-1,1,1
1,-1,1,1,1,1,-1,1
1,-1,1,1,1,1,1,-1
1,1,-1,-1,-1,1,-1,1
1,1,-1,-1,-1,1,1,-1
1,1,-1,-1,1,-1,-1,1
1,1,-1,-1,1,-1,1,-1
1,1,-1,1,-1,-1,-1,1
1,1,-1,1,-1,-1,1,-1
1,1,-1,1,-1,1,-1,-1
1,1,-1,1,-1,1,1,1
1,1,-1,1,1,-1,-1,-1
1,1,-1,1,1,-1,1,1
1,1,-1,1,1,1,-1,1
1,1,-1,1,1,1,1,-1
1,1,1,-1,-1,-1,-1,1
1,1,1,-1,-1,-1,1,-1
1,1,1,-1,-1,1,-1,-1
1,1,1,-1,-1,1,1,1
1,1,1,-1,1,-1,-1,-1
1,1,1,-1,1,-1,1,1
1,1,1,-1,1,1,-1,1
1,1,1,-1,1,1,1,-1
1,1,1,1,-1,1,-1,1
1,1,1,1,-1,1,1,-1
1,1,1,1,1,-1,-1,1
1,1,1,1,1,-1,1,-1
